company,end_date,location,salary,title,url
Reebok,Actualizado ayer,"Lima, Lima",2025,PRACTICANTE PROFESIONAL DE LOGÍSTICA (PERÚ),https://www.bumeran.com.pe/empleos/practicante-profesional-de-logistica-peru-reebok-1116817596.html
PRESTAMYPE,Publicado hace 2 días,"Miraflores, Lima",2025,Practicante de estrategias y políticas de riesgo,https://www.bumeran.com.pe/empleos/practicante-de-estrategias-y-politicas-de-riesgo-prestamype-1116817104.html
Confidencial,Publicado hace 2 días,"Ventanilla, Lima",2025,Practicante Profesional de Operaciones - Callao,https://www.bumeran.com.pe/empleos/practicante-profesional-de-operaciones-callao-1116817000.html
Confidencial,Actualizado hace 7 horas,"San Juan de Miraflores, Lima",2025,Practicante Profesional de Archivo Central,https://www.bumeran.com.pe/empleos/practicante-profesional-de-archivo-central-1116816626.html
PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU (PUCP),Actualizado hace 8 horas,"San Miguel, Lima",2025,Practicante Profesional de Comunicación Audiovisual,https://www.bumeran.com.pe/empleos/practicante-profesional-de-comunicacion-audiovisual-pontificia-universidad-catolica-del-peru-pucp-1116816577.html
Grupo Lucky,Actualizado ayer,"Miraflores, Lima",2025,Practicante Profesional de Bienestar Social,https://www.bumeran.com.pe/empleos/practicante-profesional-de-bienestar-social-grupo-lucky-1116816486.html
Caja Metropolitana de Lima,Publicado hace 2 días,"Lima, Lima",2025,Practicante Profesional de Mejora de Procesos,https://www.bumeran.com.pe/empleos/practicante-profesional-de-mejora-de-procesos-caja-metropolitana-de-lima-1116815606.html
Cencosud Perú S.A,Publicado hace 2 días,"San Isidro, Lima",2025,Practicante de Abastecimiento Non Food,https://www.bumeran.com.pe/empleos/practicante-de-abastecimiento-non-food-cencosud-peru-s.a-1116815454.html
SODEXO PERU,Actualizado hace 8 horas,"San Borja, Lima",2025,Practicante Profesional de Servicios al Personal,https://www.bumeran.com.pe/empleos/practicante-profesional-de-servicios-al-personal-sodexo-peru-1116815122.html
CLÍNICA ANGLO AMERICANA,Actualizado hace 8 horas,"San Isidro, Lima",2025,Practicante Profesional de Ingeniería Biomédica,https://www.bumeran.com.pe/empleos/practicante-profesional-de-ingenieria-biomedica-clinica-anglo-americana-1116814423.html
Grupo Tawa,Actualizado hace 7 horas,"Ate, Lima",2025,Practicante de Sistemas – Implementación de APP,https://www.bumeran.com.pe/empleos/practicante-de-sistemas--implementacion-de-app-grupo-tawa-1116814374.html
Caja Metropolitana de Lima,Publicado hace 2 días,"San Isidro, Lima",2025,Practicante Profesional de Gestión de Personas,https://www.bumeran.com.pe/empleos/practicante-profesional-de-gestion-de-personas-caja-metropolitana-de-lima-1116813968.html
BANCO PICHINCHA,Publicado hace 2 días,"Miraflores, Lima",2025,Practicante de Gestión Integral de Riesgo,https://www.bumeran.com.pe/empleos/practicante-de-gestion-integral-de-riesgo-banco-pichincha-1116725884.html
CERTIFICACIONES DEL PERU SA,Publicado hace 3 horas,"Callao, Lima",2025,Practicante de Medicina Veterinaria - Patología y Diagnóstico,https://www.bumeran.com.pe/empleos/practicante-de-medicina-veterinaria-patologia-y-diagnostico-certificaciones-del-peru-sa-1116839218.html
Grupo Tawa,Publicado hace 5 horas,"San Isidro, Lima",2025,Practicante de Diseño Grafico - Gestión Social,https://www.bumeran.com.pe/empleos/practicante-de-diseno-grafico-gestion-social-grupo-tawa-1116838244.html
Madrid Inmobiliaria,Publicado hace 5 horas,"Santiago de Surco, Lima",2025,PRACTICANTE ADMINISTRATIVO DE VENTAS – SECTOR INMOBILIARIO,https://www.bumeran.com.pe/empleos/practicante-administrativo-de-ventas--sector-inmobiliario-madrid-inmobiliaria-1116838035.html
ECONSULTING,Publicado hace 2 minutos,"Lima, Lima",2025,PRACTICANTE DE RECLUTAMIENTO Y SELECCIÓN - AD HONOREM,https://www.bumeran.com.pe/empleos/practicante-de-reclutamiento-y-seleccion-ad-honorem-econsulting-1116840926.html
INVERSIONES NACIONALES DE TURISMO S.A.,Publicado ayer,"San Isidro, Lima",2025,Practicante de Alimentos y Bebidas (Operaciones Corp.),https://www.bumeran.com.pe/empleos/practicante-de-alimentos-y-bebidas-operaciones-corp.-inversiones-nacionales-de-turismo-s.a.-1116830034.html
GRUPORPP S.A.C.,Publicado ayer,"Lima, Lima",2025,Practicante Profesional - Operador de Audio / Radio,https://www.bumeran.com.pe/empleos/practicante-profesional-operador-de-audio-radio-gruporpp-s.a.c.-1116829639.html
Ajinomoto del Perú S.A.,Actualizado hace 8 horas,"Lima, Lima",2025,Practicante Pre Profesional de Investigación y Desarrollo,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-investigacion-y-desarrollo-ajinomoto-del-peru-s.a.-1116827047.html
Confidencial,Actualizado hace 10 horas,"Ate, Lima",2025,Practicante Profesional de Proyectos - Ing. Industrial,https://www.bumeran.com.pe/empleos/practicante-profesional-de-proyectos-ing.-industrial-1116826709.html
Pluz Energía Perú S.A.A.,Actualizado hace 9 horas,"San Borja, Lima",2025,Practicante Pre o Profesional de Operaciones Comerciales,https://www.bumeran.com.pe/empleos/practicante-pre-o-profesional-de-operaciones-comerciales-pluz-energia-peru-s.a.a.-1116826278.html
Claro Perú,Publicado ayer,"La Victoria, Lima",2025,Practicante de Inteligencia de Negocios - Ecommerce Digital,https://www.bumeran.com.pe/empleos/practicante-de-inteligencia-de-negocios-ecommerce-digital-claro-peru-1116826176.html
SaniCenter,Actualizado hace 8 horas,"San Martín De Porres - Lima, Lima",2025,Practicante de importaciones / San martin de porres,https://www.bumeran.com.pe/empleos/practicante-de-importaciones-san-martin-de-porres-sanicenter-1116717869.html
GRUPO JLB S.A.,Actualizado hace 1 hora,"San Isidro, Lima",2025,Practicante profesional de Talento Humano (Hibrido),https://www.bumeran.com.pe/empleos/practicante-profesional-de-talento-humano-hibrido-grupo-jlb-s.a.-1116818410.html
LUZ DEL SUR S.A.A.,Publicado hace 2 días,"Chosica, Lima",2025,PRACTICANTE PROFESIONAL DE ATENCIÓN AL CLIENTE - CHOSICA,https://www.bumeran.com.pe/empleos/practicante-profesional-de-atencion-al-cliente-chosica-luz-del-sur-s.a.a.-1116816907.html
